Title,Location,Link,Description,Company
Senior ASIC Physical Design Engineer - High Performance Designs,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-ASIC-Physical-Design-Engineer---High-Performance-Designs_JR1987645?q=Design,,NVIDIA
Senior Ballout Designer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Ballout-Designer_JR1971608?q=Design,,NVIDIA
Senior Design Engineer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Design-Engineer_JR1980754?q=Design,,NVIDIA
ASIC Design Engineer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/ASIC-Design-Engineer_JR1982863?q=Design,,NVIDIA
Clock Design Engineer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Clock-Design-Engineer_JR1988209-1?q=Design,,NVIDIA
Physical Design Engineer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Physical-Design-Engineer_JR1992751?q=Design,,NVIDIA
Physical Design Engineer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Physical-Design-Engineer_JR1994185?q=Design,,NVIDIA
"Manager, Design Verification","© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Hsinchu/Manager--Design-Verification_JR1995101?q=Design,,NVIDIA
Physical Design Engineer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Physical-Design-Engineer_JR1994382?q=Design,,NVIDIA
Physical Design Manager,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Physical-Design-Manager_JR1994840?q=Design,,NVIDIA
Chip Design Manager,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Chip-Design-Manager_JR1995503?q=Design,,NVIDIA
Senior Instructional Designer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Instructional-Designer_JR1995873?q=Design,,NVIDIA
Senior Mask Designer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/India-Bengaluru/Senior-Mask-Designer_JR1995752?q=Design,,NVIDIA
Layout Design Engineer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/India-Bengaluru/Layout-Design-Engineer_JR1995746?q=Design,,NVIDIA
Layout Design Engineer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/India-Bengaluru/Layout-Design-Engineer_JR1995747-1?q=Design,,NVIDIA
IO Design Engineer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/IO-Design-Engineer_JR1995584?q=Design,,NVIDIA
Chip Design Student,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Chip-Design-Student_JR1995929?q=Design,,NVIDIA
Senior Mask Design Engineer - Hardware,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Mask-Design-Engineer---Hardware_JR1966633?q=Design,,NVIDIA
Senior Product Architect,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Product-Architect_JR1967119?q=Design,,NVIDIA
Hardware Validation Engineer,"© 2025 Workday, Inc. All rights reserved.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Hardware-Validation-Enginner_JR1969913?q=Design,,NVIDIA
